iter	Passed	Remaining
0	55	55281
1	57	28676
2	58	19314
3	60	14989
4	61	12262
5	62	10429
6	63	9016
7	65	8160
8	67	7392
9	68	6783
10	70	6352
11	72	5956
12	74	5649
13	75	5343
14	77	5064
15	78	4813
16	79	4589
17	81	4428
18	83	4286
19	84	4128
20	85	3984
21	86	3850
22	88	3745
23	91	3718
24	92	3620
25	94	3533
26	95	3451
27	96	3347
28	97	3260
29	99	3214
30	100	3128
31	100	3045
32	101	2977
33	102	2905
34	103	2847
35	104	2792
36	105	2745
37	106	2686
38	106	2630
39	107	2577
40	107	2525
41	108	2477
42	109	2433
43	109	2389
44	110	2349
45	111	2312
46	112	2278
47	112	2240
48	113	2203
49	114	2171
50	114	2138
51	115	2105
52	116	2073
53	116	2042
54	117	2014
55	118	1989
56	118	1963
57	119	1940
58	120	1916
59	120	1892
60	121	1872
61	122	1853
62	123	1831
63	123	1812
64	124	1793
65	125	1777
66	126	1759
67	127	1741
68	127	1723
69	128	1705
70	129	1692
71	129	1673
72	130	1655
73	130	1637
74	131	1620
75	131	1604
76	132	1590
77	133	1577
78	134	1564
79	134	1551
80	135	1537
81	136	1523
82	136	1505
83	136	1492
84	137	1479
85	137	1465
86	138	1452
87	138	1439
88	139	1427
89	140	1417
90	140	1405
91	141	1394
92	141	1382
93	142	1370
94	142	1357
95	143	1346
96	143	1335
97	144	1325
98	144	1314
99	144	1303
100	145	1294
101	145	1284
102	146	1273
103	146	1264
104	147	1256
105	147	1247
106	148	1238
107	148	1230
108	149	1222
109	149	1213
110	150	1205
111	150	1196
112	151	1188
113	151	1180
114	152	1172
115	152	1165
116	153	1158
117	154	1151
118	154	1146
119	155	1139
120	155	1132
121	156	1124
122	156	1116
123	157	1112
124	157	1105
125	158	1099
126	158	1091
127	159	1084
128	159	1078
129	160	1071
130	160	1065
131	161	1058
132	161	1053
133	162	1050
134	163	1044
135	163	1039
136	164	1034
137	164	1029
138	165	1024
139	165	1019
140	166	1014
141	166	1008
142	167	1002
143	167	997
144	168	991
145	168	986
146	169	981
147	169	976
148	170	971
149	170	967
150	171	963
151	171	958
152	172	953
153	172	948
154	173	943
155	173	939
156	173	934
157	174	929
158	175	926
159	175	921
160	175	916
161	176	912
162	176	908
163	177	904
164	178	901
165	179	899
166	179	895
167	180	892
168	180	888
169	181	884
170	181	880
171	182	876
172	182	873
173	183	869
174	183	866
175	184	863
176	184	859
177	185	855
178	185	852
179	186	848
180	186	845
181	187	842
182	187	838
183	188	834
184	188	831
185	189	827
186	189	824
187	190	820
188	190	817
189	190	814
190	192	814
191	193	813
192	193	810
193	194	807
194	194	804
195	195	802
196	196	800
197	196	796
198	197	793
199	197	790
200	198	787
201	198	785
202	199	782
203	199	780
204	200	777
205	201	775
206	201	772
207	202	770
208	202	767
209	203	764
210	203	761
211	204	758
212	204	755
213	205	753
214	205	750
215	206	748
216	206	746
217	207	744
218	208	742
219	208	739
220	209	737
221	209	735
222	210	733
223	211	732
224	211	729
225	212	727
226	212	725
227	213	723
228	213	720
229	214	718
230	214	715
231	215	713
232	216	711
233	216	709
234	217	706
235	217	704
236	218	702
237	218	699
238	218	697
239	219	694
240	220	693
241	221	692
242	221	691
243	222	689
244	223	689
245	224	687
246	224	685
247	225	682
248	225	680
249	226	678
250	226	675
251	227	674
252	227	672
253	228	670
254	228	668
255	229	667
256	230	665
257	230	663
258	231	661
259	231	659
260	232	657
261	232	655
262	233	653
263	233	652
264	234	650
265	234	648
266	235	647
267	237	647
268	237	646
269	238	644
270	238	642
271	239	640
272	239	638
273	240	636
274	240	634
275	241	632
276	241	630
277	242	628
278	242	626
279	243	625
280	243	623
281	244	621
282	244	620
283	245	618
284	245	616
285	246	614
286	246	612
287	247	611
288	247	610
289	248	608
290	248	606
291	249	605
292	250	604
293	251	605
294	254	607
295	255	607
296	256	607
297	257	607
298	258	607
299	259	606
300	260	604
301	260	602
302	261	600
303	263	604
304	265	604
305	266	604
306	267	602
307	267	601
308	270	605
309	271	603
310	273	605
311	274	605
312	275	604
313	276	603
314	277	603
315	278	602
316	279	601
317	280	600
318	280	599
319	283	601
320	283	600
321	286	603
322	289	605
323	289	604
324	291	605
325	292	604
326	293	603
327	293	601
328	294	599
329	295	599
330	296	598
331	297	597
